,title,company,salary,summary
0,Website Developer (5 YR EXP REQ),BubbleUP Marketing,,"The Developer is responsible for custom web software development for BubbleUP clients with specialization in the PHP Laravel framework, as well as experience in…"
1,Web Developer,First Canadian Insurance Corporation,,"Newly renovated facility with ergonomic desks/chairs.
The Web Application Developer is responsible for the design and development of innovative solutions to…"
2,,Riva CRM Integration,,Maverick software developer with +3 years of wanting to create high-quality and used software solutions to a global market;
3,Software Developer,LawDepot,,"LawDepot.com is currently expanding and looking to recruit a Software Developer in Edmonton, Alberta.
Working with the Information Systems team, you will be…"
4,Back-End Web Developer,g[squared],,"Working with our web development team to integrate front-facing user interface elements with server side logic.
Knowledge of other CMS technologies is an asset."
5,Job Developer,EmployAbilities Society of Alberta,,"EmployAbilities is currently filling the position of a full-time contract position of job developer based in Edmonton.
Minimum of three years of experience."
6,Web Developer - Node.js,First Canadian Financial Group,,"Newly renovated facility with ergonomic desks/chairs.
The Web Application Developer – Node.js is responsible for managing the interchange of data between our…"
7,Front End Developer,LawDepot,,"Collaborate with other developers by participating in code reviews, sharing knowledge and brainstorming.
LawDepot.com is currently expanding and looking to…"
8,Web Applications Developer,First Canadian Financial Group,,"Newly renovated facility with ergonomic desks/chairs.
The Web Application Developer is responsible for the design and development of innovative solutions to…"
9,Database Developer,AutoCanada Inc.,,The multi-location dealership model enables AutoCanada to serve a diversified geographic customer base providing a range of services to customers including new…
10,E-commerce Shopify Web Developer,Fancii & Co.,,"We're seeking a full-time talented Shopify web developer who will play an integral role in our marketing and sales efforts.
Customize plug-ins and themes."
11,RPA Developer,Bits In Glass,,Work closely with other developers and the technical lead to ensure design best practices are followed and a high delivery velocity is maintained.
12,Website Developer / Administrator (Head Office),AutoCanada Inc.,,"As a Website Administrator, you’ll support the greater marketing team by ensuring that the dealership websites are maintained, improved and aligned with the…"
13,eLearning Developer,MCAP,,"This position is responsible for planning, organizing and developing various employee training solutions designed to support the business objectives."
14,SW Developer,Willowglen Systems Inc.,,"Mentor associate developers and help them develop their technical skills.
The Software Development department at Willowglen is responsible for the design,…"
15,Website Developer (5 YR EXP REQ),BubbleUP Marketing,,"The Developer is responsible for custom web software development for BubbleUP clients with specialization in the PHP Laravel framework, as well as experience in…"
